id,region,name,majors_in_icis_npdes,non_majors_in_icis_npdes,major_pollutant_loadings,non_major_pollutant_loadings,major_pollutant_loadings_percentage,non_majors_pollutant_loadings,major_pollutants_pounds,non_major_total_pollutants_pounds,major_toxic_weighted_pounds,non_major_toxic_weighted_pounds,date,
47,8,South Dakota,23,339,23,294,100,87,15287122,627171037,6321,41067,1/1/08,
48,4,Tennessee,161,1130,157,633,98,56,1150982501,395121423,128357495,363000,1/1/08,
49,6,Texas,716,2249,704,2145,98,95,799376651,3923838960,2999482,2155138,1/1/08,
50,8,Utah,38,131,38,86,100,66,334210498,325166895,3147518,34848,1/1/08,
51,1,Vermont,34,99,34,62,100,63,18627356,0,16855,0,1/1/08,
52,2,Virgin Islands,7,57,7,52,100,91,50149163,17605567,6611,4418,1/1/08,
53,3,Virginia,132,512,97,104,73,20,415775918,1773500,22177,2037,1/1/08,
54,10,Washington,60,273,41,164,68,60,6665883,4167975,12391,60085,1/1/08,
55,3,West Virginia,88,1268,88,1164,100,92,468143679,1708655076,1342251,1095766,1/1/08,
56,5,Wisconsin,131,863,131,434,100,50,122168107,116935,108623,42,1/1/08,
57,8,Wyoming,10,265,10,214,100,81,0,36749959,0,170465,1/1/08,
0,4,Alabama,183,1511,183,1022,100,68,1218744140,3566409232,1658992,9268858,1/1/09,
1,10,Alaska,42,38,32,21,76,55,73797031,7721495,63106,1168,1/1/09,
2,9,American Samoa,4,3,3,2,75,67,3482291,1546073,255,26,1/1/09,
3,9,Arizona,69,118,65,92,94,78,193650280,73327380,1200038,1898,1/1/09,
4,6,Arkansas,116,698,115,696,99,100,438394702,44551921,147834,24607,1/1/09,
5,9,California,275,389,238,222,87,57,4038250826,4228861,8933947,25589,1/1/09,
6,8,Colorado,124,372,118,230,95,62,455244528,104875868,179899,8386,1/1/09,
7,1,Connecticut,99,80,99,75,100,94,91005510,74608071,1073867,5582,1/1/09,
8,3,Delaware,17,39,16,34,94,87,223692738,1594505,281040,2537,1/1/09,
9,3,District Of Columbia,4,9,4,7,100,78,43012450,252875,43408,607,1/1/09,
10,4,Florida,223,293,190,247,85,84,7521916090,89369362,6955014,1387490,1/1/09,
11,4,Georgia,211,841,205,554,97,66,175082263,9110407,1160976,14617,1/1/09,
12,9,Guam,6,13,5,8,83,62,5455009,12263,419,0,1/1/09,
13,6,Gulf Of Mexico,,3,,3,,100,,0,,0,1/1/09,
14,9,Hawaii,20,120,18,27,90,23,355112443,1779850,92457,1853,1/1/09,
15,10,Idaho,39,145,38,123,97,85,59450329,2906450,23745,6596,1/1/09,
16,5,Illinois,274,1419,273,1300,100,92,10787844055,3983821230,1711079,649752,1/1/09,
17,5,Indiana,196,1379,195,1355,99,98,1904354807,182005832,411582,239543,1/1/09,
18,7,Iowa,139,1327,132,1010,95,76,20226567,62958258,47641,189384,1/1/09,
19,7,Kansas,56,893,52,281,93,31,387344033,8397255,149462,239,1/1/09,
20,4,Kentucky,141,1573,139,1436,99,91,362770877,685112602,118040,862902,1/1/09,
21,6,Louisiana,241,1294,234,340,97,26,2321929238,10714342,3479786,16586,1/1/09,
22,1,Maine,76,391,72,238,95,61,82456726,4036091,27875,3431,1/1/09,
23,9,Mariana Islands,2,2,2,1,100,50,895788,141,555,0,1/1/09,
24,3,Maryland,96,864,83,496,86,57,48104282,62398671,355419,43606,1/1/09,
25,1,Massachusetts,128,159,124,132,97,83,144947023,18196820,254408,121371,1/1/09,
26,5,Michigan,195,633,190,523,97,83,831259856,230320716,13741565,298963,1/1/09,
27,5,Minnesota,103,631,96,252,93,40,147863107,1004446,2536758,126,1/1/09,
28,4,Mississippi,95,1260,94,1210,99,96,52170004,370257112,68156,18605,1/1/09,
29,7,Missouri,178,2973,173,2609,97,88,342823525,1993718452,37133446,7318332,1/1/09,
30,8,Montana,33,168,31,157,94,93,123586587,67243513,45510,88959,1/1/09,
31,7,Nebraska,54,682,54,591,100,87,76567686,1930445868,94158,20779946,1/1/09,
32,9,Nevada,13,83,10,21,77,25,626229328,0,15281,0,1/1/09,
33,1,New Hampshire,51,47,50,36,98,77,19561443,936018,26231,996,1/1/09,
34,2,New Jersey,99,52,91,47,92,90,0,0,0,0,1/1/09,
35,6,New Mexico,38,114,37,109,97,96,32712872,13723272,8797,5658,1/1/09,
36,2,New York,332,1274,329,1084,99,85,1080343539,283447946,1765974,157278,1/1/09,
37,4,North Carolina,221,1076,213,912,96,85,1.05762E+11,114454973,4225501820,148440,1/1/09,
38,8,North Dakota,25,42,25,8,100,19,77225212,0,21363,0,1/1/09,
39,5,Ohio,295,2969,295,2873,100,97,2390157149,5647323415,1082104,3330119,1/1/09,
40,6,Oklahoma,103,371,103,370,100,100,178547539,406438546,57970,15234,1/1/09,
41,10,Oregon,69,284,66,169,96,60,89146814,38845,193836,485,1/1/09,
42,3,Pennsylvania,400,4271,384,560,96,13,1944700890,72718700,1476858,131337,1/1/09,
43,2,Puerto Rico,86,172,86,170,100,99,1608375558,103571374,40557966525,644858,1/1/09,
44,1,Rhode Island,25,81,25,73,100,90,26711162,816597,36900,8808,1/1/09,
45,4,South Carolina,168,299,162,289,96,97,450337727,5979027,237648,85611,1/1/09,
46,8,South Dakota,23,328,23,282,100,86,11929324,574038594,5814,16591,1/1/09,
47,4,Tennessee,162,1147,159,603,98,53,865760814,597172741,136451576,290365,1/1/09,
48,6,Texas,720,2254,711,2144,99,95,763206820,5490428680,1221294,1524645,1/1/09,
